method,iter,quality_score,diagnostic_score,cust_column_shapes,cust_pair_trends,txn_column_shapes,cross_table_mad,ia_ks_pvalue,autocorr_mae,new_row_synthesis,dcr_protection
M4 TVAE,103,0.8826,0.9998,0.7919,0.7794,0.8295,0.3965,0.0,0.033,,
M5 MST-DP,103,0.8507,0.9992,0.9245,0.8151,0.8477,0.3959,0.0,0.556,,
M1 HMA-GC,104,0.8781,0.9999,0.9386,0.7344,0.8621,0.3773,0.0,0.069,,
M2 CTGAN,104,0.8488,0.9993,0.836,0.5497,0.9055,0.3894,0.0001,0.0148,,
M3 PAR,104,0.6413,0.7441,0.7801,0.5447,0.7793,0.3069,0.0,0.0389,,
M4 TVAE,104,0.8791,0.9997,0.7853,0.7755,0.8221,0.3927,0.0,0.0275,,
M5 MST-DP,104,0.8548,0.9997,0.9203,0.8333,0.8507,0.3873,0.0,0.5734,,
M1 HMA-GC,105,0.8702,1.0,0.9388,0.7279,0.8678,0.3657,0.0,0.0863,,
M2 CTGAN,105,0.8506,0.9996,0.8308,0.5679,0.9124,0.3935,0.0379,0.0116,,
M3 PAR,105,0.5612,0.7322,0.7722,0.5321,0.784,0.2924,0.0,0.0289,,
M4 TVAE,105,0.8814,0.9988,0.7874,0.7744,0.8247,0.3955,0.0,0.0383,,
M5 MST-DP,105,0.9177,0.9997,0.9144,0.8344,0.8421,0.3967,0.0,0.5886,,
M1 HMA-GC,106,0.8801,1.0,0.9376,0.7324,0.8676,0.3693,0.0,0.0749,,
M2 CTGAN,106,0.8415,1.0,0.8354,0.5733,0.9109,0.3875,0.0292,0.0039,,
M3 PAR,106,0.6362,0.7457,0.779,0.5512,0.7843,0.2986,0.0,0.0484,,
M4 TVAE,106,0.8792,1.0,0.7882,0.7824,0.8222,0.3941,0.0,0.0245,,
M5 MST-DP,106,0.843,0.9996,0.9224,0.8273,0.8488,0.3702,0.0,0.586,,
M1 HMA-GC,107,0.8717,1.0,0.9347,0.7376,0.865,0.384,0.0,0.0797,,
M2 CTGAN,107,0.8507,0.9996,0.8405,0.572,0.9063,0.3904,0.0817,0.0068,,
M3 PAR,107,0.5663,0.743,0.7789,0.5518,0.7867,0.3039,0.0,0.0349,,
M4 TVAE,107,0.877,1.0,0.791,0.7706,0.8272,0.3997,0.0,0.0323,,
M5 MST-DP,107,0.9272,0.9997,0.9258,0.8308,0.8485,0.3983,0.0,0.5873,,
M1 HMA-GC,108,0.8806,0.9999,0.9376,0.7344,0.8639,0.3848,0.0,0.0864,,
M2 CTGAN,108,0.8461,0.9988,0.8367,0.5533,0.9073,0.3816,0.0062,0.0289,,
M3 PAR,108,0.6431,0.7411,0.786,0.5291,0.7821,0.3024,0.0,0.0494,,
M4 TVAE,108,0.8862,0.9994,0.8015,0.7675,0.8278,0.4005,0.0,0.0304,,
M5 MST-DP,108,0.8466,0.9994,0.9186,0.8208,0.8418,0.396,0.0,0.5843,,
M1 HMA-GC,109,0.8815,0.9999,0.9374,0.7273,0.8653,0.3683,0.0,0.0708,,
M2 CTGAN,109,0.8503,0.9999,0.8311,0.5471,0.9085,0.3799,0.0033,0.0021,,
M3 PAR,109,0.6326,0.7459,0.7834,0.5338,0.7855,0.2982,0.0,0.0282,,
M4 TVAE,109,0.8793,1.0,0.7858,0.7678,0.8267,0.3743,0.0,0.0231,,
M5 MST-DP,109,0.8529,0.9996,0.9246,0.8441,0.8467,0.3816,0.0,0.5474,,
M1 HMA-GC,110,0.8671,0.9999,0.933,0.7499,0.8643,0.3815,0.0,0.0793,,
M2 CTGAN,110,0.8545,0.9998,0.8425,0.5728,0.9075,0.3915,0.0013,0.0166,,
M3 PAR,110,0.5809,0.7471,0.7779,0.5282,0.7785,0.298,0.0,0.0405,,
M4 TVAE,110,0.8899,1.0,0.7949,0.7885,0.8283,0.3752,0.0,0.0367,,
M5 MST-DP,110,0.9299,0.9995,0.924,0.8283,0.845,0.3828,0.0,0.5776,,
M1 HMA-GC,111,0.8704,1.0,0.9339,0.7358,0.8648,0.3785,0.0,0.0709,,
M2 CTGAN,111,0.8601,0.9997,0.8414,0.5609,0.9061,0.3945,0.0032,0.0049,,
M3 PAR,111,0.5848,0.7448,0.7869,0.5542,0.778,0.3076,0.0,0.0322,,
M4 TVAE,111,0.8872,1.0,0.7901,0.7759,0.8252,0.3961,0.0,0.0142,,
M5 MST-DP,111,0.9217,0.9996,0.9224,0.8137,0.841,0.3972,0.0,0.5224,,
M1 HMA-GC,112,0.8669,1.0,0.9334,0.7416,0.8604,0.3751,0.0,0.0686,,
M2 CTGAN,112,0.8497,1.0,0.8338,0.5675,0.9104,0.3783,0.0397,0.0024,,
M3 PAR,112,0.5627,0.7433,0.777,0.5346,0.7846,0.294,0.0,0.0276,,
M4 TVAE,112,0.8782,1.0,0.7848,0.7838,0.828,0.3701,0.0,0.0265,,
M5 MST-DP,112,0.9197,0.9997,0.9231,0.8605,0.8471,0.3789,0.0,0.5419,,
M1 HMA-GC,113,0.8714,0.9999,0.9353,0.7342,0.8625,0.3827,0.0,0.086,,
M2 CTGAN,113,0.8447,0.9998,0.8373,0.5738,0.9095,0.3983,0.0016,0.0122,,
M3 PAR,113,0.5644,0.7388,0.7801,0.5331,0.7829,0.3101,0.0,0.0554,,
M4 TVAE,113,0.8825,1.0,0.79,0.7838,0.8288,0.3829,0.0,0.0326,,
M5 MST-DP,113,0.9173,0.9996,0.924,0.8137,0.8471,0.3902,0.0,0.5742,,
M1 HMA-GC,114,0.8693,1.0,0.9362,0.7249,0.8628,0.3809,0.0,0.0743,,
M2 CTGAN,114,0.8535,0.9998,0.8318,0.551,0.9085,0.3915,0.0002,0.0078,,
M3 PAR,114,0.5836,0.74,0.7852,0.5371,0.7825,0.3066,0.0,0.0289,,
M4 TVAE,114,0.8883,1.0,0.8005,0.7837,0.8248,0.387,0.0,0.0146,,
M5 MST-DP,114,0.9317,0.9996,0.9213,0.8334,0.8495,0.3912,0.0,0.5618,,
M1 HMA-GC,115,0.8806,1.0,0.937,0.7255,0.8676,0.3834,0.0,0.0952,,
M2 CTGAN,115,0.8365,0.9993,0.8389,0.5658,0.9084,0.3943,0.0004,0.0138,,
M3 PAR,115,0.6264,0.7343,0.7828,0.5403,0.7787,0.3194,0.0,0.0565,,
M4 TVAE,115,0.8801,0.9997,0.7911,0.7993,0.8258,0.4176,0.0,0.0345,,
M5 MST-DP,115,0.8459,0.9996,0.925,0.8256,0.8463,0.4003,0.0,0.5541,,
M1 HMA-GC,116,0.8802,0.9999,0.9375,0.7184,0.8653,0.3925,0.0,0.091,,
M2 CTGAN,116,0.8484,0.9993,0.8329,0.5633,0.9056,0.4069,0.005,0.019,,
M3 PAR,116,0.6506,0.7438,0.7871,0.5404,0.7834,0.2967,0.0,0.0331,,
M4 TVAE,116,0.8836,0.9999,0.7957,0.7985,0.8207,0.3938,0.0,0.0387,,
M5 MST-DP,116,0.8535,0.9996,0.9281,0.8093,0.8496,0.4012,0.0,0.5808,,
M1 HMA-GC,117,0.8804,1.0,0.9413,0.7208,0.8654,0.39,0.0,0.0933,,
M2 CTGAN,117,0.8355,0.9998,0.84,0.5652,0.9086,0.3912,0.0001,0.014,,
M3 PAR,117,0.6383,0.7447,0.7828,0.5406,0.7811,0.2964,0.0,0.0338,,
M4 TVAE,117,0.8803,1.0,0.7907,0.7724,0.8258,0.393,0.0,0.0369,,
M5 MST-DP,117,0.8607,0.9997,0.9288,0.8618,0.8524,0.3959,0.0,0.5941,,
M1 HMA-GC,118,0.8752,0.9993,0.9368,0.7351,0.8645,0.3799,0.0,0.0714,,
M2 CTGAN,118,0.843,0.9995,0.8326,0.5535,0.905,0.4128,0.0213,0.0052,,
M3 PAR,118,0.6456,0.7421,0.7828,0.5591,0.7825,0.294,0.0,0.0466,,
M4 TVAE,118,0.8818,0.9988,0.7875,0.7817,0.8226,0.405,0.0,0.0177,,
M5 MST-DP,118,0.8576,0.9997,0.925,0.8392,0.8425,0.3943,0.0,0.5383,,
M1 HMA-GC,119,0.8691,0.9998,0.9381,0.7278,0.866,0.3771,0.0,0.0931,,
M2 CTGAN,119,0.8466,0.9994,0.8375,0.5625,0.9095,0.3937,0.0002,0.0255,,
M3 PAR,119,0.6435,0.7432,0.7817,0.5263,0.7843,0.2795,0.0,0.0508,,
M4 TVAE,119,0.8781,1.0,0.7946,0.7739,0.8288,0.3882,0.0,0.0368,,
M5 MST-DP,119,0.8442,0.9995,0.9239,0.7635,0.8478,0.3822,0.0,0.5982,,
M1 HMA-GC,120,0.8745,1.0,0.9395,0.722,0.8629,0.375,0.0,0.0815,,
M2 CTGAN,120,0.8445,0.9998,0.8338,0.5577,0.9063,0.3845,0.0181,0.0172,,
M3 PAR,120,0.6334,0.7424,0.7695,0.5399,0.7799,0.3274,0.0,0.0488,,
M4 TVAE,120,0.8803,1.0,0.7855,0.772,0.8267,0.3922,0.0,0.0251,,
M5 MST-DP,120,0.8567,0.9994,0.9238,0.805,0.8505,0.3948,0.0,0.5808,,
M1 HMA-GC,121,0.8755,1.0,0.9393,0.7425,0.8678,0.3777,0.0,0.0684,,
M2 CTGAN,121,0.8506,1.0,0.8365,0.5769,0.9085,0.3845,0.0392,0.0024,,
M3 PAR,121,0.5797,0.7427,0.7813,0.5517,0.7834,0.3104,0.0,0.0336,,
M4 TVAE,121,0.8819,1.0,0.7926,0.7798,0.8228,0.394,0.0,0.0241,,
M5 MST-DP,121,0.9298,0.9997,0.9172,0.8522,0.845,0.3842,0.0,0.5631,,
M1 HMA-GC,122,0.8882,0.9999,0.9414,0.7352,0.8657,0.3827,0.0,0.0917,,
M2 CTGAN,122,0.8473,0.9998,0.8346,0.5568,0.905,0.3797,0.0253,0.0133,,
M3 PAR,122,0.6346,0.7423,0.7776,0.5348,0.7812,0.3229,0.0,0.0465,,
M4 TVAE,122,0.8811,1.0,0.794,0.7689,0.8256,0.3865,0.0,0.0409,,
M5 MST-DP,122,0.8577,0.9996,0.927,0.8567,0.8491,0.3805,0.0,0.5718,,
M1 HMA-GC,123,0.8782,1.0,0.9342,0.7582,0.8632,0.3859,0.0,0.0866,,
M2 CTGAN,123,0.8623,0.9996,0.8369,0.574,0.9081,0.3898,0.0017,0.0139,,
M3 PAR,123,0.5949,0.7468,0.7864,0.5518,0.7812,0.3088,0.0,0.0322,,
M4 TVAE,123,0.8826,1.0,0.7949,0.7752,0.8242,0.3938,0.0,0.0441,,
M5 MST-DP,123,0.9318,0.9997,0.9215,0.8402,0.8387,0.3797,0.0,0.5645,,
M1 HMA-GC,124,0.8772,1.0,0.9385,0.7193,0.8654,0.4086,0.0,0.0809,,
M2 CTGAN,124,0.8471,0.9994,0.8292,0.5584,0.9102,0.3975,0.0007,0.0015,,
M3 PAR,124,0.6404,0.7369,0.7815,0.5227,0.7818,0.3319,0.0,0.0582,,
M4 TVAE,124,0.8829,0.9999,0.7893,0.777,0.8277,0.409,0.0,0.0206,,
M5 MST-DP,124,0.8545,0.9989,0.9274,0.8439,0.8507,0.3762,0.0,0.5799,,
M1 HMA-GC,125,0.8787,1.0,0.9368,0.7094,0.8647,0.3733,0.0,0.0734,,
M2 CTGAN,125,0.8433,0.9995,0.8427,0.5523,0.908,0.3829,0.0352,0.0139,,
M3 PAR,125,0.6383,0.7359,0.7839,0.5367,0.7825,0.2884,0.0,0.0227,,
M4 TVAE,125,0.8792,0.9996,0.7954,0.7768,0.8226,0.3921,0.0,0.0324,,
M5 MST-DP,125,0.8491,0.9997,0.9255,0.8369,0.8443,0.3798,0.0,0.5694,,
M1 HMA-GC,126,0.8806,1.0,0.9408,0.7259,0.8627,0.3886,0.0,0.0926,,
M2 CTGAN,126,0.8359,0.9998,0.8375,0.5581,0.9046,0.3988,0.0027,0.0068,,
M3 PAR,126,0.6345,0.7426,0.7828,0.5465,0.7813,0.2961,0.0,0.0426,,
M4 TVAE,126,0.8769,1.0,0.7975,0.7786,0.8283,0.4005,0.0,0.0259,,
M5 MST-DP,126,0.8472,0.9997,0.9275,0.8355,0.849,0.4017,0.0,0.5677,,
M1 HMA-GC,127,0.8842,1.0,0.9376,0.744,0.8619,0.3923,0.0,0.0679,,
M2 CTGAN,127,0.847,0.9994,0.8346,0.5639,0.9046,0.4008,0.0129,0.0141,,
M3 PAR,127,0.6384,0.7401,0.7744,0.5427,0.7793,0.3206,0.0,0.0501,,
M4 TVAE,127,0.8786,0.9999,0.7929,0.7763,0.824,0.3984,0.0,0.0263,,
M5 MST-DP,127,0.8562,0.9996,0.9252,0.8296,0.8455,0.4027,0.0,0.544,,
M1 HMA-GC,128,0.8673,1.0,0.932,0.7267,0.8609,0.3914,0.0,0.0826,,
M2 CTGAN,128,0.8429,0.9995,0.8413,0.5751,0.9062,0.3896,0.0114,0.0102,,
M3 PAR,128,0.6315,0.7379,0.7723,0.5523,0.7825,0.3166,0.0,0.0505,,
M4 TVAE,128,0.8795,0.9997,0.7897,0.7711,0.8296,0.3967,0.0,0.0205,,
M5 MST-DP,128,0.8561,0.9992,0.9271,0.8464,0.85,0.3766,0.0,0.5796,,
M1 HMA-GC,129,0.8753,1.0,0.9425,0.7293,0.8626,0.3786,0.0,0.0669,,
M2 CTGAN,129,0.8632,0.9998,0.8405,0.5627,0.9071,0.4021,0.0034,0.005,,
M3 PAR,129,0.5714,0.7405,0.7847,0.5325,0.78,0.3134,0.0,0.033,,
M4 TVAE,129,0.8855,1.0,0.7905,0.7816,0.8251,0.386,0.0,0.0184,,
M5 MST-DP,129,0.9325,0.9996,0.9243,0.8352,0.8488,0.3809,0.0,0.5676,,
M1 HMA-GC,130,0.8695,1.0,0.9345,0.7294,0.862,0.4021,0.0,0.0846,,
M2 CTGAN,130,0.8578,0.9997,0.8293,0.5742,0.9078,0.3969,0.0002,0.0147,,
M3 PAR,130,0.5832,0.7454,0.7835,0.5399,0.7833,0.2969,0.0,0.0523,,
M4 TVAE,130,0.8854,1.0,0.7875,0.7719,0.8278,0.4143,0.0,0.0392,,
M5 MST-DP,130,0.9289,0.9996,0.9275,0.8281,0.8435,0.3854,0.0,0.5885,,
M1 HMA-GC,131,0.8774,1.0,0.9323,0.7302,0.8665,0.3805,0.0,0.0776,,
M2 CTGAN,131,0.8494,0.9994,0.8375,0.5659,0.9055,0.4023,0.0585,0.0157,,
M3 PAR,131,0.6365,0.7409,0.7823,0.5436,0.7825,0.3348,0.0,0.0305,,
M4 TVAE,131,0.8853,0.9999,0.7959,0.7784,0.8246,0.3857,0.0,0.0215,,
M5 MST-DP,131,0.8596,0.9997,0.9238,0.8332,0.8471,0.3906,0.0,0.5442,,
M1 HMA-GC,132,0.8851,1.0,0.9427,0.7325,0.8644,0.3632,0.0,0.0665,,
M2 CTGAN,132,0.8461,0.9993,0.8371,0.5635,0.9086,0.3842,0.0478,0.0027,,
M3 PAR,132,0.6429,0.7438,0.782,0.5429,0.781,0.2915,0.0,0.0331,,
M4 TVAE,132,0.8819,0.9999,0.7876,0.7815,0.8223,0.385,0.0,0.0188,,
M5 MST-DP,132,0.851,0.9996,0.9252,0.839,0.8465,0.3868,0.0,0.5452,,
M1 HMA-GC,133,0.8781,0.9999,0.9396,0.7453,0.865,0.3853,0.0,0.0728,,
M2 CTGAN,133,0.8624,0.9995,0.8417,0.5866,0.9063,0.3916,0.0002,0.0075,,
M3 PAR,133,0.5745,0.7432,0.7745,0.52,0.7826,0.3029,0.0,0.0404,,
M4 TVAE,133,0.8804,1.0,0.7895,0.7589,0.825,0.3799,0.0,0.0359,,
M5 MST-DP,133,0.9313,0.9996,0.9261,0.8348,0.8485,0.4063,0.0,0.5617,,
M1 HMA-GC,134,0.871,1.0,0.9369,0.7382,0.8661,0.3769,0.0,0.0821,,
M2 CTGAN,134,0.8632,1.0,0.8349,0.5742,0.9069,0.3972,0.0108,0.0098,,
M3 PAR,134,0.5837,0.7451,0.78,0.5421,0.7809,0.3116,0.0,0.0108,,
M4 TVAE,134,0.8908,1.0,0.7925,0.7832,0.8251,0.394,0.0,0.0302,,
M5 MST-DP,134,0.9334,0.9996,0.921,0.8314,0.848,0.4007,0.0,0.5331,,
M1 HMA-GC,135,0.8773,1.0,0.9408,0.7268,0.866,0.3964,0.0,0.0737,,
M2 CTGAN,135,0.8329,1.0,0.8332,0.5536,0.908,0.4036,0.001,0.0046,,
M3 PAR,135,0.6318,0.7405,0.7763,0.5491,0.7858,0.2976,0.0,0.0351,,
M4 TVAE,135,0.88,1.0,0.7892,0.7765,0.8237,0.3942,0.0,0.031,,
M5 MST-DP,135,0.854,0.9997,0.9216,0.8561,0.8504,0.3946,0.0,0.595,,
M1 HMA-GC,136,0.8718,1.0,0.9339,0.7222,0.8632,0.3706,0.0,0.0848,,
M2 CTGAN,136,0.8492,0.9993,0.8399,0.5633,0.9071,0.3882,0.0285,0.0132,,
M3 PAR,136,0.6288,0.7359,0.7715,0.5285,0.7823,0.3182,0.0,0.036,,
M4 TVAE,136,0.8839,0.9995,0.792,0.7726,0.8294,0.3851,0.0,0.0305,,
M5 MST-DP,136,0.8525,0.9992,0.923,0.8391,0.8448,0.3737,0.0,0.5866,,
M1 HMA-GC,137,0.8831,1.0,0.9378,0.7364,0.8644,0.3704,0.0,0.0887,,
M2 CTGAN,137,0.8478,0.9998,0.8448,0.5582,0.9044,0.3935,0.0274,0.0218,,
M3 PAR,137,0.6394,0.7441,0.7815,0.5282,0.7843,0.3097,0.0,0.0663,,
M4 TVAE,137,0.8816,1.0,0.7961,0.779,0.825,0.3824,0.0,0.0345,,
M5 MST-DP,137,0.8484,0.9997,0.9234,0.8331,0.8472,0.3821,0.0,0.5584,,
M1 HMA-GC,138,0.8855,0.9999,0.9329,0.7491,0.863,0.3721,0.0,0.0801,,
M2 CTGAN,138,0.8466,0.9993,0.8323,0.5536,0.9051,0.3968,0.033,0.0011,,
M3 PAR,138,0.6469,0.7363,0.7831,0.546,0.7836,0.3087,0.0,0.0487,,
M4 TVAE,138,0.8845,0.9998,0.7892,0.7726,0.8249,0.3916,0.0,0.0192,,
M5 MST-DP,138,0.8513,0.9996,0.9216,0.8207,0.8434,0.385,0.0,0.547,,
M1 HMA-GC,139,0.869,1.0,0.9382,0.7178,0.861,0.3704,0.0,0.0835,,
M2 CTGAN,139,0.8398,0.9997,0.8319,0.5471,0.9053,0.3936,0.054,0.014,,
M3 PAR,139,0.5651,0.7475,0.7839,0.5374,0.7792,0.3141,0.0,0.0509,,
M4 TVAE,139,0.877,1.0,0.7841,0.7731,0.8279,0.3844,0.0,0.0339,,
M5 MST-DP,139,0.9288,0.9997,0.9202,0.8381,0.8484,0.3779,0.0,0.5474,,
M1 HMA-GC,140,0.8853,0.9993,0.9379,0.719,0.8668,0.3911,0.0,0.0852,,
M2 CTGAN,140,0.8422,0.9991,0.8365,0.5526,0.9085,0.3906,0.0127,0.0036,,
M3 PAR,140,0.6479,0.7328,0.786,0.526,0.7838,0.3201,0.0,0.0656,,
M4 TVAE,140,0.881,0.9986,0.7974,0.7727,0.8248,0.4036,0.0,0.0269,,
M5 MST-DP,140,0.8507,0.9993,0.9237,0.8245,0.8502,0.3869,0.0,0.5643,,
M1 HMA-GC,141,0.8667,1.0,0.9335,0.7321,0.8618,0.3777,0.0,0.0697,,
M2 CTGAN,141,0.8376,0.9998,0.8368,0.5544,0.9028,0.3899,0.0619,0.001,,
M3 PAR,141,0.5683,0.742,0.7908,0.5489,0.78,0.3033,0.0,0.0474,,
M4 TVAE,141,0.8848,1.0,0.802,0.7832,0.8272,0.3932,0.0,0.0103,,
M5 MST-DP,141,0.9155,0.9996,0.9238,0.8312,0.8495,0.3971,0.0,0.5771,,
M1 HMA-GC,142,0.8769,0.9999,0.9395,0.7237,0.8661,0.3777,0.0,0.0903,,
M2 CTGAN,142,0.8418,0.9988,0.8375,0.5645,0.9073,0.3942,0.0392,0.0058,,
M3 PAR,142,0.6303,0.7305,0.786,0.5399,0.7797,0.3182,0.0,0.0392,,
M4 TVAE,142,0.8798,0.9997,0.7908,0.7713,0.8259,0.379,0.0,0.0306,,
M5 MST-DP,142,0.8542,0.999,0.927,0.8362,0.8481,0.3774,0.0,0.5715,,
M1 HMA-GC,143,0.8785,1.0,0.9404,0.7273,0.8611,0.3796,0.0,0.0889,,
M2 CTGAN,143,0.8476,0.9997,0.8378,0.562,0.9087,0.3935,0.0,0.0091,,
M3 PAR,143,0.6434,0.7506,0.7857,0.5345,0.7813,0.3204,0.0,0.0228,,
M4 TVAE,143,0.8821,1.0,0.797,0.7741,0.8262,0.3982,0.0,0.037,,
M5 MST-DP,143,0.8478,0.9997,0.9244,0.8392,0.8492,0.3824,0.0,0.5616,,
M1 HMA-GC,144,0.8753,0.9999,0.9376,0.7325,0.8648,0.3851,0.0,0.0862,,
M2 CTGAN,144,0.8617,0.999,0.8397,0.5649,0.9089,0.3945,0.0071,0.004,,
M3 PAR,144,0.5741,0.7375,0.7785,0.5449,0.7806,0.2992,0.0,0.0318,,
M4 TVAE,144,0.88,0.9996,0.7938,0.7864,0.8214,0.372,0.0,0.026,,
M5 MST-DP,144,0.9279,0.9994,0.9264,0.7913,0.8462,0.3699,0.0,0.5769,,
M1 HMA-GC,145,0.8723,0.9955,0.9378,0.7289,0.8644,0.3879,0.0,0.1026,,
M2 CTGAN,145,0.8622,0.999,0.8347,0.5629,0.9068,0.3917,0.039,0.0162,,
M3 PAR,145,0.581,0.7414,0.7789,0.5538,0.7847,0.2902,0.0,0.0191,,
M4 TVAE,145,0.8843,0.999,0.7803,0.7553,0.8264,0.3985,0.0,0.0237,,
M5 MST-DP,145,0.9313,0.9997,0.9241,0.8449,0.849,0.3784,0.0,0.5686,,
M1 HMA-GC,146,0.8639,0.9999,0.9395,0.7254,0.8663,0.3861,0.0,0.1009,,
M2 CTGAN,146,0.8503,0.9993,0.8348,0.5615,0.9085,0.3919,0.0058,0.0211,,
M3 PAR,146,0.5737,0.7452,0.7788,0.5432,0.7826,0.2973,0.0,0.0514,,
M4 TVAE,146,0.8709,0.9999,0.7895,0.761,0.8244,0.4163,0.0,0.0277,,
M5 MST-DP,146,0.927,0.9997,0.9214,0.8375,0.8464,0.3947,0.0,0.5849,,
M1 HMA-GC,147,0.8736,1.0,0.9327,0.7125,0.8614,0.4102,0.0,0.0858,,
M2 CTGAN,147,0.8524,1.0,0.8442,0.5695,0.909,0.4068,0.0143,0.0187,,
M3 PAR,147,0.6395,0.7406,0.78,0.5325,0.7851,0.3111,0.0,0.0388,,
M4 TVAE,147,0.8797,1.0,0.7952,0.7728,0.8264,0.4145,0.0,0.0236,,
M5 MST-DP,147,0.8547,0.9997,0.9263,0.8428,0.8491,0.4154,0.0,0.5835,,
M1 HMA-GC,148,0.8682,1.0,0.938,0.7366,0.864,0.3817,0.0,0.0843,,
M2 CTGAN,148,0.8599,0.9997,0.8354,0.5643,0.9073,0.3948,0.0076,0.0101,,
M3 PAR,148,0.5795,0.7429,0.784,0.5345,0.7842,0.318,0.0,0.0528,,
M4 TVAE,148,0.887,1.0,0.788,0.7779,0.8241,0.392,0.0,0.028,,
M5 MST-DP,148,0.9272,0.9996,0.9245,0.8317,0.8492,0.3887,0.0,0.5653,,
M1 HMA-GC,149,0.8616,1.0,0.9343,0.7224,0.8628,0.3922,0.0,0.0677,,
M2 CTGAN,149,0.858,0.9998,0.8389,0.5424,0.9067,0.3951,0.0301,0.0178,,
M3 PAR,149,0.5827,0.7438,0.7814,0.5373,0.7821,0.2842,0.0,0.0479,,
M4 TVAE,149,0.8867,1.0,0.7868,0.7662,0.8285,0.398,0.0,0.0263,,
M5 MST-DP,149,0.928,0.9997,0.927,0.8401,0.8477,0.3897,0.0,0.5736,,
M1 HMA-GC,150,0.8771,1.0,0.9395,0.7253,0.8656,0.3807,0.0,0.0892,,
M2 CTGAN,150,0.8427,1.0,0.8367,0.5525,0.9072,0.3789,0.1267,0.0049,,
M3 PAR,150,0.645,0.7433,0.7912,0.5492,0.7821,0.2975,0.0,0.0398,,
M4 TVAE,150,0.8787,1.0,0.7968,0.7815,0.8218,0.3934,0.0,0.0254,,
M5 MST-DP,150,0.857,0.9997,0.9268,0.8437,0.8427,0.3843,0.0,0.5445,,
M1 HMA-GC,151,0.8791,1.0,0.9299,0.7295,0.8644,0.3776,0.0,0.089,,
M2 CTGAN,151,0.8511,0.9998,0.8382,0.5761,0.9063,0.3984,0.0004,0.0087,,
M3 PAR,151,0.6448,0.7444,0.7809,0.5402,0.7838,0.3004,0.0,0.0385,,
M4 TVAE,151,0.8754,1.0,0.7871,0.7738,0.8281,0.3906,0.0,0.0188,,
M5 MST-DP,151,0.8543,0.9996,0.9186,0.8253,0.8476,0.3866,0.0,0.5852,,
M1 HMA-GC,152,0.8816,1.0,0.9376,0.7366,0.8645,0.394,0.0,0.0954,,
M2 CTGAN,152,0.8485,1.0,0.8393,0.5587,0.911,0.4094,0.0008,0.0238,,
M3 PAR,152,0.6357,0.7401,0.7799,0.543,0.7807,0.2947,0.0,0.0397,,
M4 TVAE,152,0.8826,1.0,0.7846,0.7801,0.8238,0.4016,0.0,0.0353,,
M5 MST-DP,152,0.8588,0.9997,0.9206,0.8251,0.8453,0.3946,0.0,0.5791,,
M1 HMA-GC,153,0.8813,1.0,0.939,0.7441,0.8656,0.3901,0.0,0.0871,,
M2 CTGAN,153,0.8419,0.9999,0.8365,0.5676,0.9091,0.4085,0.0054,0.0177,,
M3 PAR,153,0.6283,0.747,0.7785,0.556,0.7813,0.3083,0.0,0.041,,
M4 TVAE,153,0.8698,1.0,0.7897,0.7815,0.8263,0.3895,0.0,0.0375,,
M5 MST-DP,153,0.8538,0.9996,0.9267,0.8416,0.8462,0.3818,0.0,0.5679,,
M1 HMA-GC,154,0.8794,1.0,0.9339,0.7213,0.8628,0.4001,0.0,0.0818,,
M2 CTGAN,154,0.8446,0.9998,0.8342,0.534,0.9061,0.4096,0.0074,0.0108,,
M3 PAR,154,0.6315,0.7354,0.7913,0.5425,0.7789,0.3352,0.0,0.036,,
M4 TVAE,154,0.8759,1.0,0.798,0.7695,0.8237,0.4114,0.0,0.0404,,
M5 MST-DP,154,0.86,0.9996,0.925,0.8194,0.8493,0.3899,0.0,0.5709,,
M1 HMA-GC,155,0.8814,0.9956,0.9375,0.754,0.8661,0.3624,0.0,0.0842,,
M2 CTGAN,155,0.8484,0.9989,0.8358,0.5753,0.9076,0.4022,0.0388,0.0169,,
M3 PAR,155,0.6396,0.7417,0.7877,0.5486,0.7834,0.2982,0.0,0.0678,,
M4 TVAE,155,0.8837,0.999,0.7922,0.7806,0.8255,0.3926,0.0,0.0348,,
M5 MST-DP,155,0.8487,0.9995,0.9241,0.8018,0.8507,0.3927,0.0,0.5687,,
M1 HMA-GC,156,0.8839,1.0,0.9433,0.7266,0.865,0.392,0.0,0.0838,,
M2 CTGAN,156,0.839,1.0,0.8307,0.5561,0.9044,0.3896,0.0007,0.0086,,
M3 PAR,156,0.644,0.7417,0.7823,0.548,0.7856,0.3114,0.0,0.048,,
M4 TVAE,156,0.8802,1.0,0.7928,0.7834,0.8246,0.4072,0.0,0.0386,,
M5 MST-DP,156,0.8603,0.9997,0.9205,0.8342,0.8457,0.3872,0.0,0.5826,,
M1 HMA-GC,157,0.8721,0.9999,0.9342,0.7425,0.8663,0.3992,0.0,0.0804,,
M2 CTGAN,157,0.8658,0.9998,0.832,0.5767,0.906,0.3992,0.0024,0.0143,,
M3 PAR,157,0.5857,0.7414,0.78,0.5473,0.7842,0.3017,0.0,0.0577,,
M4 TVAE,157,0.8886,1.0,0.785,0.7806,0.8253,0.3962,0.0,0.0347,,
M5 MST-DP,157,0.9305,0.9997,0.9215,0.8189,0.8484,0.3847,0.0,0.5678,,
M1 HMA-GC,158,0.8708,0.9955,0.9369,0.7219,0.8645,0.3812,0.0,0.0802,,
